run,Scenario,Version,World,Regionalisation,aftParamId,ThresholdTimberGlobal,ThresholdCerealGlobal,ThresholdMeatGlobal,ThresholdRecreationGlobal,ThresholdTimberRegional,ThresholdCerealRegional,ThresholdMeatRegional,ThresholdRecreationRegional,FactorCerealGlobal,FactorMeatGlobal,FactorTimberGlobal,FactorCerealRegional,FactorMeatRegional,FactorTimberRegional,GlobalInstNoise,InstitutionNoise,GlobalIntNoiseMean,RegionalIntNoiseMean,GlobalInstActionRT,RegionalInstActionRT,MonitorDelay,MonitorDelayRegion,PACconsiderGlobal,PACconsiderRegional,GlobalInstitutions_xml,BT_xml,GlobalInstBT,frPas,Insititutions_xml,RegionCsvFile,DemandFolder,Agent_xml,Competition_xml,Allocation_xml,Allocation_percentageCell,Allocation_percentageTakeovers,SocialNetwork_xml,LARAmodel_xml,allocprob,pathToData
17,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsA.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvision.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
18,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,0.5,1.5,1.5,1.7,0,0,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
19,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1,1.5,1.5,1.7,0,0,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
20,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.2,1.5,1.5,1.7,0,0,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
21,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.4,1.5,1.5,1.7,0,0,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
22,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.6,1.5,1.5,1.7,0,0,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
23,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.8,1.5,1.5,1.7,0,0,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
24,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,2,1.5,1.5,1.7,0,0,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesD.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesA.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
25,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.6,1.5,1.5,1.7,0.5,0.5,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesE.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesB.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
26,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.6,1.5,1.5,1.7,1,1,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesE.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesB.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
27,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.6,1.5,1.5,1.7,1.5,1.5,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesE.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesB.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
28,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.6,1.5,1.5,1.7,0.1,0.1,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesE.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesB.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
29,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.6,1.5,1.5,1.7,0.2,0.2,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesE.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesB.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
30,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.6,1.5,1.5,1.7,0.3,0.3,1,1,1,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesE.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesB.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
31,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.6,1.5,1.5,1.7,0.2,0.2,1,1,2,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesE.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesB.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
32,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.6,1.5,1.5,1.7,0.2,0.2,1,1,3,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesE.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesB.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
33,A1,_setA/_RegGlobMax,WorldX,3,0,0.01,0.2,0.2,0.2,0.01,0.01,99,99,0.5,0.5,1.6,1.5,1.5,1.7,0.2,0.2,1,1,5,1,0,0,0,0,institutions/global/GlobalInstitutionsB.xml,"/.//agents/BehaviouralTypes.xml, ./institutions/Institutions_BehaviouralTypesE.xml",./institutions/global/GlobalInstitutionsBehaviouralTypesB.xml,_setA/_RegGlobMax/institutions/pas/RegionalSupplyInstPasB.xml,./institutions/Institutions_RegionalProvisionB.xml,/..//worlds/WorldX/regionalisations/3.csv,./demand/demand04,/..//agents/FunctionalRoles_homo.xml,/../_BLwX//competition/Competition_linear_08.xml,/..//allocation/GiveUpGiveInAllocationRandom.xml,30,3,None,../lara/RegionalLaraModel.xml,0.2,../..
